species	gb	bold
Pseudolathra oregonensis	0	0
Bledius fontinalis	0	0
Coproporus colchicus	0	0
Atheta kaiseriana	0	0
Mocyta amplicollis	0	0
Stenus hypoproditor	1	1
Thinobius ciliatus	9	9
Quedius transparens	1	3
Tachyporus corpulentus	0	1
Aleodorus bilobatus	9	11
Gyrophaena brevicollis	0	0
Anotylus insecatus	21	26
Stenus gratiosus	0	5
Atanygnathus terminalis	0	7
Stenus melanopus	1	4
Deleaster dichrous	24	25
Atheta boletophila	0	0
Carphacis striatus	6	9
Gabrius piliger	3	4
Leptusa fumida	15	13
Stenus crassus	6	8
Stenus clarostigma	0	0
Phloeonomus sjobergi	2	2
Neothetalia columbiana	6	11
Geostiba circellaris	15	23
Stenus rufomaculatus	0	0
Stenus incrassatus	9	10
Clusiota impressicollis	0	16
Ischnopoda scitula	0	0
Othius angustus	5	7
Tetartopeus sollicitus	0	1
Batrisodes sinuatifrons	0	0
Tachinus mexicanus	4	0
Nudobius lentus	16	20
Euplectus punctatus	6	7
Veraphis engelmarki	0	0
Erichsonius alumnus	0	0
Bledius coulteri	0	2
Xylodromus affinis	0	0
Stictalia arcuata	0	0
Quedius nigrocaeruleus	0	0
Acrolocha minuta	0	0
Tachinus semirufus	3	5
Baeocera humeralis	0	7
Atanygnathus bicolor	1	1
Nitidotachinus scrutator	2	2
Lathrobium scolopaceum	1	6
Gabrius vindex	0	0
Atheta malleus	7	7
Lathrobium washingtoni	0	6
Philonthus aequalis	0	2
Acrotona nigerrima	0	0
Philhygra clemens	0	17
Olophrum stouti	0	0
Leptacinus sulcifrons	10	12
Quedius subunicolor	2	2
Stenus picipes	4	5
Acrolocha leechi	0	0
Atheta volans	0	6
Gyrohypnus angustatus	23	14
Trichiusa pilosa	0	0
Oxypoda orbicollis	1	11
Amblopusa alaskana	0	1
Mocyta negligens	0	0
Phyllodrepa floralis	8	10
Heterothops dissimilis	9	8
Philonthus alpinus	0	1
Atheta newfoundlandica	0	1
Bolitochara lunulata	0	0
Taphroscydmus californicus	0	5
Gnypeta brincki	1	2
Micropeplus caelatus	0	0
Homaeotarsus sellatus	0	2
Oligota inexspectata	0	0
Adranes lecontei	0	0
Phyllodrepa sahlbergi	1	1
Thinobius brundini	0	0
Tarphiota geniculata	2	6
Batrisodes riparius	0	2
Thiasophila bercionis	0	0
Oxypoda nigricornis	3	5
Lamprinodes saginatus	1	1
Philonthus vulgatus	3	10
Ochthephilus forticornis	0	1
Atheta sodermani	0	0
Thinobius longicornis	0	0
Atheta aeneipennis	7	7
Quedius truncicola	12	10
Omalium exiguum	3	3
Sepedophilus ctenidialis	0	0
Philonthus cruentatus	6	9
Oxypoda nelsoni	0	0
Tachyporus rulomoides	0	0
Arpedium brachypterum	0	0
Gabrius brevipennis	5	11
Meliceria tragardhi	0	0
Stenus schwarzi	0	2
Atheta pseudoterminalis	0	0
Bisnius diversipennis	0	0
Gnathusa grandiceps	0	0
Lucifotychus testaceus	0	1
Aleochara puberula	0	0
Eudectus whitei	0	0
Tympanophorus puncticollis	0	10
Aleodorus scutellaris	0	0
Ochthephilus planus	0	2
Phymatura brevicollis	2	2
Philonthus cyanipennis	0	0
Stenus umbratilis	10	19
Aloconota carmanah	0	0
Aleochara rubricalis	3	7
Quedius longicornis	0	0
Atheta luridipennis	1	0
Eutrichites zonatus	0	0
Gnypeta minuta	3	0
Oxypoda irrasa	25	54
Bledius honestus	0	0
Phacophallus parumpunctatus	9	11
Myrmecocephalus arizonicus	0	0
Anotylus rugifrons	0	0
Lathrobium brunnipes	34	28
Platandria carolinae	0	0
Atheta serrata	0	0
Oxypoda brevicornis	14	17
Atheta shurawskyi	0	0
Metopsia similis	0	0
Cedius ziegleri	0	0
Oxypoda madgei	0	0
Stenistoderus rubripennis	2	8
Medon hatchi	0	0
Euconnus flavitarsis	0	0
Pseudolathra ambigua	0	0
Myrmoecia canadensis	0	0
Philhygra pohli	0	0
Philorinum sordidum	1	3
Quedius tenellus	5	6
Trigonurus crotchi	0	1
Atheta debilis	1	6
Oxypoda advena	1	1
Tachyporus quadriscopulatus	0	0
Meotica exillima	0	0
Mycetoporus reichei	1	3
Stenus subarcticus	2	2
Heterothops praevius	1	8
Atheta quebecensis	0	0
Hemiquedius ferox	3	9
Stenus bimaculatus	21	24
Lypoglossa angularis	0	23
Quedius erythrogaster	3	1
Calodera protensa	0	0
Xantholinus dvoraki	0	0
Zalobius spinicollis	0	0
Gyrophaena vitrina	0	1
Lathrobium longulum	25	26
Atheta dadopora	23	52
Bledius tricornis	18	18
Omalium repandum	0	4
Holoboreaphilus nordenskioeldi	0	0
Neobisnius jucundus	0	0
Bledius flavipennis	0	0
Rybaxis mystica	0	4
Bledius opacus	23	21
Atheta sculptisoma	0	0
Hydrosmecta longula	8	10
Hydrosmecta newfoundlandica	0	0
Othius volans	2	2
Quedius rusticus	13	18
Acrolocha crenulata	0	0
Anatheta planulicollis	0	0
Bryophacis discalis	0	0
Philonthus marginatus	12	17
Acidota quadrata	15	18
Oxypoda lucidula	0	3
Mycetoporus neotomae	0	0
Phymatura blanchardi	0	1
Oxytelus sculptus	11	15
Atheta nigripes	0	11
Quedius seriatus	0	1
Leptusa gatineauensis	0	2
Mocyta fungi	83	69
Anotylus inustus	10	11
Tachyporus obtusus	28	29
Lucifotychus hirsutus	0	5
Euplectus karstenii	19	23
Oxypoda rubescans	0	0
Dropephylla gracilicornis	0	1
Trichonyx sulcicollis	2	2
Bledius mandibularis	0	10
Gyrophaena orientalis	0	0
Stenus laccophilus	0	5
Rybaxis longicornis	24	24
Atheta ringi	0	0
Brachygluta luniger	0	0
Stenus gibbicollis	0	0
Philonthus blossius	0	0
Philonthus lecontei	0	0
Philonthus triangulum	0	0
Bledius philadelphicus	0	0
Gabronthus thermarum	4	10
Bledius aquilonarius	0	0
Gabrius austriacus	0	2
Paraphloeostiba gayndahensis	0	9
Omalium muensteri	2	4
Dropephylla puella	0	0
Gyrophaena modesta	0	7
Pyroglossa mirabilis	0	0
Euconnus oreophilus	0	0
Gymnusa konopackii	0	3
Quedius nitipennis	6	10
Scopaeus ryei	1	1
Pseudoxyporus lateralis	0	0
Neothetalia canadiana	3	5
Heterothops fraternus	0	0
Hydrosmecta subtilissima	1	1
Lesteva hanseni	0	0
Neobisnius procerulus	6	6
Liparocephalus brevipennis	2	5
Tachinus pallipes	22	22
Lesteva pubescens	4	5
Tychobythinus bythinioides	0	0
Aloconota philonthoides	0	0
Eutyphlus schmitti	0	0
Gabrius ulpius	0	0
Scydmoraphes minutus	4	5
Melba parvula	1	2
Lordithon exoletus	5	6
Actium wawonaensis	0	0
Quedius jenisseensis	0	0
Tachyporus elegans	3	8
Ischnoglossa elegantula	0	0
Euplectus piceus	7	8
Ocyusa yukonensis	0	0
Euconnus elongatus	0	0
Philhygra ripicoloides	0	0
Homaeotarsus cinctus	2	8
Mycetoporus nidicola	0	0
Sonoma parviceps	1	3
Trissemus clavicornis	0	0
Pseudoxyporus occipitalis	0	0
Mycetoporus brucki	0	0
Phloeopora teres	7	9
Aleochara ocularis	0	3
Eusphalerum swauki	0	0
Lithocharis nigriceps	17	38
Amischa nigrofusca	0	5
Bledius ineptus	0	0
Oxyporus vittatus	0	5
Lobrathium indubium	0	0
Dinaraea arcana	3	3
Gabrius bescidicus	0	0
Ocypus fuscoaeneus	0	0
Gyrophaena pulchella	3	3
Rabigus laxellus	1	2
Hypomedon quadripennis	0	0
Scydmaenus retrusus	0	0
Euplectus duryi	3	4
Bisnius subuliformis	11	12
Claviger longicornis	0	1
Euconnus hirticollis	3	4
Anotylus maritimus	0	0
Chennium bituberculatum	0	0
Dexiogyia corticina	6	8
Phyllodrepa humerosa	0	1
Quedius pseudolimbatus	1	3
Bibloporus mayeti	0	0
Ocyusa picina	3	3
Lathrobium pallidum	0	0
Tetartopeus terminatus	14	4
Lathrobium latum	0	0
Mycetoporus longulus	1	1
Oxypoda vockerothi	0	0
Lordithon kelleyi	0	13
Liogluta terminalis	0	6
Lathrobium lineatocolle	0	2
Atrecus macrocephalus	9	12
Stenus aterrimus	0	0
Oxytelus piceus	17	17
Atheta ebenina	0	2
Aleochara curtidens	0	2
Mniusa yukonensis	3	9
Tachyporus abdominalis	29	33
Philonthus theveneti	0	0
Mycetoporus americanus	0	9
Boreophilia hyperborea	2	5
Astenus americanus	0	1
Geodromicus strictus	0	1
Gabrius breviventer	17	7
Acrolocha fracta	0	0
Bibloplectus integer	0	0
Mniusa incrassata	4	4
Eusphalerum convexum	12	20
Liogluta atriventris	0	0
Thinobius munsteri	0	0
Quedius nanulus	5	4
Boreostiba parvipennis	0	21
Bledius terebrans	1	1
Stenus palposus	4	4
Tachinus memnonius	0	3
Xantholinus elegans	11	18
Bledius opaculus	0	0
Xantholinus gallicus	3	0
Bisnius stacesmithi	0	1
Medon apicalis	15	18
Proteinus collaris	16	22
Leptusa norvegica	0	0
Philonthus gracilior	0	1
Olophrum boreale	5	16
Placusa tacomae	5	7
Gnypeta ashei	57	62
Tachinus rufipes	1	36
Atheta cauta	3	3
Cordalia obscura	18	27
Omalium laeviusculum	2	3
Atheta nitella	0	0
Philhygra varula	0	0
Acrotona aterrima	17	16
Erichsonius inutilis	0	0
Stenus carinicollis	0	4
Bryaxis bulbifer	0	5
Dinaraea aequata	23	20
Atheta circulicollis	2	19
Bledius longulus	0	0
Bisnius cephalicus	0	1
Stenichnus poweri	0	0
Atheta benickiella	5	5
Philonthus subvirescens	4	11
Scydmoraphes sparshalli	3	2
Bledius furcatus	4	4
Oxyporus occipitalis	27	31
Lordithon niger	0	1
Lesteva monticola	4	4
Megarthrus fennicus	0	0
Astenus discopunctatus	0	6
Staphylinus caesareus	4	7
Sepedophilus lusitanicus	1	2
Tachyporus dispar	18	20
Agaricochara geniculata	0	0
Gabrius sallustius	0	0
Hesperus apicialis	0	4
Clavilispinus rufescens	0	0
Calodera lapponica	0	0
Acrotona pseudotenera	0	4
Dinothenarus pleuralis	0	1
Schistoglossa viduata	4	5
Batrisodes delaporti	0	6
Amischa bifoveolata	4	4
Philonthus crotchi	0	0
Tachyporus pusillus	6	37
Boreophilia subplana	2	3
Atheta pseudometlakatlana	7	97
Calodera nigrita	3	3
Atheta cribrata	0	1
Boreophilia caseyi	0	3
Mycetoporus glaber	0	0
Mycetoporus silvaticus	0	0
Myllaena dubia	11	11
Bledius fuscipes	0	0
Sonoma squamishorum	0	0
Omalium validum	0	0
Trigonurus crotchii	0	0
Anomognathus cuspidatus	15	15
Mycetoporus boreellus	1	1
Stenus calcaratus	0	0
Decarthron longulum	0	1
Paederus palustris	0	1
Hypnogyra gularis	0	2
Lathrobium sibiricum	0	0
Tachyporus mexicanus	7	7
Atheta capsularis	78	48
Quedius peregrinus	2	10
Stenus brunnipes	7	15
Tinotus morion	12	0
Atheta minuscula	0	0
Lypoglossa franclemonti	13	16
Schistoglossa blatchleyi	0	1
Tachinus fumipennis	52	110
Cypha ovulum	0	0
Myllaena decreta	0	0
Oxypoda annularis	19	21
Bledius talpa	9	9
Atheta crenuliventris	3	7
Tachyusa americana	0	1
Hylota ochracea	4	11
Lesteva pallipes	2	8
Platydracus immaculatus	0	0
Atheta acadiensis	0	0
Gyrophaena laetula	0	12
Bisnius nitidulus	2	0
Euplectus lapponicus	0	0
Philonthus sessor	0	0
Philonthus discoideus	11	14
Astenus linearis	0	0
Phlaeopterus rufitarsis	0	0
Euaesthetus ganglbaueri	0	0
Tetartopeus lacustris	0	1
Autalia longicornis	37	17
Pseudoxyporus quinquemaculatus	0	0
Phloeopora corticalis	8	8
Aleochara carmanah	0	0
Atheta debiloides	0	0
Dilacra vilis	0	0
Tasgius ater	1	10
Neuraphes ruthenus	0	0
Bisnius scoticus	2	6
Achenomorphus corticinus	0	14
Alevonota gracilenta	0	12
Gnypeta cavicollis	0	0
Eusphalerum longipenne	10	26
Atheta nigra	2	5
Bledius kutsae	0	0
Oxyporus stygicus	0	2
Oxypoda rufa	0	0
Oxypoda opaca	32	41
Neohypnus lineatus	0	0
Platydracus tarsalis	1	1
Heterothops quadripunctulus	3	5
Sepedophilus velocipes	0	0
Plataraea dubiosa	0	0
Tachinus rufipennis	0	0
Calodera aethiops	7	7
Atheta paracrassicornis	4	4
Atheta aeneicollis	0	6
Stenus exspectatus	0	0
Dinothenarus nigrellus	0	0
Atheta hampshirensis	4	19
Haploglossa picipennis	1	1
Gabrius toxotes	4	4
Gyrophaena manca	10	3
Sepedophilus marshami	35	39
Tachinus addendus	8	11
Oropus striatus	0	12
Bledius annularis	1	8
Coryphium arizonense	1	1
Quedius maurus	11	12
Dianous coerulescens	7	8
Calodera parviceps	0	1
Anotylus niger	0	1
Stenus bohemicus	3	5
Stenus vespertinus	0	0
Aleodorus intricatus	0	0
Aleochara rubripennis	2	7
Batrisodes adnexus	0	1
Belonuchus rufipennis	1	2
Philonthus furvus	0	3
Micropeplus smetanai	0	0
Gabrius ovaliceps	1	3
Olisthaerus substriatus	4	5
Medon laticollis	0	0
Oxyporus lateralis	0	4
Aleochara inexspectata	0	0
Bledius littoralis	0	0
Stenus brumalis	0	0
Atheta glabricula	0	0
Quedius scintillans	0	1
Homaeotarsus badius	0	1
Olophrum consimile	14	18
Reichenbachia spatulifer	2	6
Atheta botildae	0	0
Xylodromus concinnus	2	2
Trigonodemus fasciatus	0	2
Deinopteroloma pictum	0	0
Homaeotarsus bicolor	0	10
Stenus vicinoides	0	0
Aleochara brevipennis	14	15
Falagrioma thoracica	4	4
Oxypoda praecox	1	1
Ctenisodes piceus	2	9
Gnypeta saccharina	0	0
Gymnusa smetanai	0	0
Lordithon campbelli	0	0
Platystethus cornutus	13	14
Phlaeopterus elongatus	0	0
Eutheia linearis	0	0
Stenus mundulus	0	2
Gyrophaena bihamata	4	7
Euplectus elongatus	0	4
Atheta zosterae	0	3
Stenus alpicola	0	0
Atheta contristata	0	1
Sunius rugithorax	0	0
Mycetoporus pachyraphis	1	1
Reichenbachia kapones	0	0
Boreophilia davidgei	0	3
Orus distinctus	0	0
Ochthephilus rosenhaueri	0	0
Omalium algarum	0	0
Stenichnus badius	0	0
Gyrophaena joyioides	12	18
Mycetoporus rufohumeralis	5	17
Leptusa carolinensis	3	11
Erichsonius parcus	0	2
Atheta nearctica	0	3
Euaesthetus floridae	0	0
Eusphalerum torquatum	0	5
Philhygra malleoides	2	12
Thinobius teres	0	0
Lomechusoides strumosus	0	0
Quedius fellmani	15	19
Anthobium clarkae	0	0
Gabrius femoralis	0	0
Philonthus pseudovarians	0	1
Oxypoda canadensis	0	3
Dinaraea backusensis	0	0
Lomechusoides sibiricus	0	0
Anotylus mutator	0	10
Gabrius hippisleyae	0	1
Euconnus pragensis	0	0
Oxypoda elongatula	6	8
Philonthus kiautschauensis	0	0
Goniusa caseyi	0	0
Stenus providus	9	11
Bisnius friebi	0	0
Anthophagus caraboides	8	18
Atheta fallaciosa	4	6
Aleochara fumata	10	16
Mycetoporus clavicornis	3	3
Stenus altaicus	0	0
Erichsonius cinerascens	20	22
Oxypoda famula	0	0
Bledius monstratus	0	2
Quedius manitobensis	0	1
Falagria dissecta	0	7
Trichiusa columbica	0	0
Atheta mahleri	0	0
Tachyusa obsoleta	0	0
Platystethus nitens	12	50
Tachyporus borealis	10	15
Baeocera congener	0	1
Anotylus sobrinus	0	1
Aleochara sekanai	2	2
Thinobius procerus	0	0
Diglotta mersa	4	3
Coprophilus sexualis	0	0
Orus punctatus	0	1
Medon brunneus	14	15
Pseudolathra famelica	0	0
Myllaena procidua	0	2
Neobisnius occidentoides	0	1
Anotylus insignitus	0	0
Gyrophaena michigana	0	4
Philonthus rubripennis	12	13
Schistoglossa aubei	3	3
Phyllodrepa strigipennis	1	2
Neohypnus picipennis	0	0
Schistoglossa bergvalli	0	0
Myrmoecia lauta	0	0
Tachinus dilatatus	0	0
Atheta occulta	2	2
Quedius lanei	0	0
Aleochara maculata	0	0
Acrostiba borealis	0	3
Stenus annularis	1	4
Porrhodites fenestralis	1	2
Beeria nematocera	1	1
Lordithon notabilis	0	0
Callicerus rigidicornis	2	3
Oxytelus fulvipes	0	2
Paederidus ruficollis	5	12
Bisnius blandus	31	53
Oxytelus nimius	0	5
Xantholinus audrasi	0	1
Scopaeus notangulus	0	0
Bledius subterraneus	8	9
Aleochara pernigra	0	0
Quedius limbifer	0	0
Myllaena cuneata	0	2
Batrisodes buqueti	0	0
Atheta venti	0	0
Cypha crotchii	0	0
Atheta munsteri	2	1
Cephalocousya nivicola	2	2
Philhygra leechi	0	6
Lithocharodes longicollis	1	26
Aleochara grisea	0	7
Philonthus caucasicus	0	1
Euconnus optatus	0	0
Quedius semiaeneus	3	6
Lathrobium frustum	0	0
Amarochara brevios	4	4
Oxypoda vancouveri	2	3
Sepedophilus bipunctatus	13	13
Myllaena ludificans	3	5
Gyrophaena rousi	0	0
Deinopsis harringtoni	0	3
Amauronyx maerkelii	0	0
Foveoscapha terracola	1	1
Dexiogyia angustiventris	0	5
Bledius lativentris	0	0
Philhygra falcifera	0	0
Quedius nemoralis	0	2
Bledius semiferrugineus	5	5
Gyrophaena williamsi	3	3
Bledius basalis	0	0
Quedius griffinae	0	1
Atheta pratensis	0	0
Acrolocha pliginskii	9	9
Tetartopeus convolutus	0	1
Haida callosa	0	0
Liogluta granulosa	1	8
Agaricochara latissima	0	10
Borboropora kraatzii	0	0
Lathrobium inhibitum	0	0
Ocypus fuscatus	5	5
Atheta harwoodi	0	2
Lathrobium othioides	1	2
Quedius umbrinus	6	64
Autalia impressa	0	3
Aleochara moesta	0	3
Cypha norvegica	0	0
Thinobius alaskanus	0	0
Atheta mortuorum	0	2
Liogluta constricta	0	0
Carpelimus bilineatus	24	25
Stenichnus bicolor	12	14
Tachyporus canadensis	0	7
Carpelimus gracilis	14	15
Haploglossa gentilis	2	3
Scydmoraphes helvolus	5	4
Amarochara forticornis	0	7
Cylletron nivale	2	2
Stenus bifoveolatus	21	26
Atheta vicaria	0	0
Euconnus novellus	0	0
Sepedophilus wickhami	0	0
Philonthus gaudens	0	0
Parabolitobius formosus	0	0
Geodromicus longipes	2	2
Neuraphes talparum	0	1
Euconnus campestris	0	0
Saulcyella schmidtii	0	0
Trigonodemus striatus	0	5
Mycetoporus niger	3	3
Mycetoporus rugosus	1	12
Aleochara haemoptera	0	6
Erichsonius rosellus	0	1
Sepedophilus versicolor	0	9
Leptoplectus spinolae	3	3
Stenus ochropus	7	9
Quedius microps	5	7
Oxypoda perexilis	0	1
Xestolinus abdominalis	0	1
Bisnius pugetensis	0	2
Atheta janssoni	0	0
Dropephylla koltzei	0	3
Homalota nigricans	0	0
Adranes taylori	0	1
Bledius baudii	0	0
Stenus intermedius	3	7
Sepedophilus basalis	0	3
Stenus pterobrachys	0	4
Goniusa carrorum	0	0
Quedius explanatus	0	0
Lordithon longiceps	1	5
Baeocera inexspectata	0	0
Atheta monticola	0	5
Megarthrus pecki	0	0
Leptusa pulchella	18	14
Ocypus nitens	16	16
Stenus ageus	0	2
Gnypeta crebrepunctata	0	0
Manda mandibularis	3	3
Acrotona parens	0	10
Mocyta orphana	0	0
Myllaena arcana	6	16
Lathrobium simile	6	56
Subhaida ingrata	0	0
Stamnoderus monstrosus	0	0
Stenus labilis	4	5
Oxypoda soror	3	5
Tachyporus ornatus	0	1
Atheta taxiceroides	0	1
Atheta procera	0	12
Bolitobius castaneus	3	5
Gabrius punctatellus	0	12
Adota maritima	2	4
Anotylus clavatus	0	2
Pella loricata	5	6
Scaphisoma commune	3	4
Platyusa sonomae	0	0
Paederus riparius	21	25
Philonthus grandicollis	0	1
Aloconota currax	0	14
Oxypoda vittata	8	10
Boreostiba lagunae	0	0
Eucnecosum brachypterum	15	14
Lathrobium dimidiatipenne	0	0
Cafius mutatus	0	1
Atheta depressicollis	2	4
Atheta subrugosa	0	0
Phloeopora oregona	0	0
Atheta brunneipennis	13	2
Tomoglossa luteicornis	0	0
Alevonota rufotestacea	0	1
Bibloporus bicanalis	0	0
Atheta boleticola	0	0
Astenus procerus	4	4
Oxypoda uhligi	0	0
Philonthus confinis	0	0
Astenus lyonessius	0	2
Medon guppyi	0	0
Aploderus caesus	0	0
Philonthus cochleatus	0	0
Stenus bilineatus	4	8
Micropeplus hoogendorni	0	0
Geostiba appalachigena	0	1
Oligota pusillima	8	8
Atheta malleoides	0	0
Boreophilia ovalis	0	1
Atheta struyvei	0	2
Bryophacis canadensis	0	0
Lathrobium leconteanum	0	0
Atheta divisa	0	0
Liogluta microptera	5	7
Atheta picipennoides	0	0
Arpedium cribratum	0	13
Phlaeopterus filicornis	0	0
Bolitobius kremeri	0	0
Tachinus frigidus	0	12
Pella glooscapi	0	1
Bledius emarginatus	0	1
Atheta laevicollis	0	0
Stenus pluto	0	1
Neohypnus hamatus	0	1
Euconnus maklinii	0	4
Xantholinus linearis	55	71
Oxypoda longipes	3	3
Empelus brunnipennis	3	3
Philhygra sinuipennis	0	4
Boreophilia insecuta	0	0
Stenus biguttatus	8	9
Pycnoplectus congener	0	0
Bisnius sordidus	12	22
Atheta particula	0	4
Platystethus nodifrons	1	2
Gabrius astutus	0	0
Plataraea brunnea	0	2
Acruliopsis tumidula	2	3
Bisnius siegwaldii	0	7
Pseudolathra dimidiata	0	0
Bledius vilis	3	3
Acidota crenata	16	25
Baeocera deflexa	0	5
Coprophilus schubertii	0	0
Hypomedon debilicornis	2	9
Atheta regissalmonis	0	0
Micropeplus brunneus	1	1
Atheta pseudolaevicollis	0	0
Placusa vaga	4	6
Quedius breviceps	0	3
Olophrum piceum	12	17
Phlaeopterus occidentalis	0	0
Stenus kiesenwetteri	3	3
Atheta terranovae	0	101
Stenus punctatus	1	1
Tachinus contortus	0	1
Atheta sundti	0	0
Carpelimus rivularis	13	13
Tetartopeus quadratus	7	0
Eusphalerum grayae	0	0
Liogluta gigantea	0	0
Rugilus geniculatus	1	4
Cousya longitarsis	0	0
Tachyporus terminalis	0	0
Medon ctenophorum	0	0
Liogluta vasta	0	0
Carpelimus modestus	0	0
Trichophya pilicornis	24	24
Medon quadratus	0	0
Cypha punctum	0	0
Atheta heymesi	0	0
Euconnus rutilipennis	9	9
Bledius fumatus	0	0
Anthobium sinuosum	0	0
Rugilus orbiculatus	22	24
Mycetoporus despectus	0	0
Acrotona exigua	0	0
Philonthus monaeses	7	15
Dropephylla heeri	0	0
Omalium plagiatum	0	0
Bryoporus rufescens	3	9
Oligota parva	17	22
Eusphalerum fenyesi	2	2
Pseudoplectus perplexus	0	0
Mycetoporus forticornis	0	0
Euplectus longicollis	0	0
Eucnecosum brunnescens	35	44
Gyrophaena lucidula	0	0
Bledius erraticus	17	17
Calodera rufescens	2	1
Zyras humeralis	0	0
Stenus sibiricus	0	9
Heterothops minor	0	5
Carpelimus despectus	3	3
Atheta palustris	18	1
Unamis fulvipes	0	0
Proteinus acadiensis	0	0
Acrotona convergens	1	1
Quedius molochinus	10	14
Stenus shoshonis	0	0
Platydracus latebricola	4	4
Tachinus basalis	1	22
Aleochara ruficornis	0	0
Bibloplectus minutissimus	4	8
Haploglossa marginalis	8	8
Aleochara castaneipennis	33	33
Bledius analis	0	1
Acrotona sequestralis	0	0
Bledius neglectus	0	0
Othius subuliformis	32	5
Pinophilus latipes	5	17
Phlaeopterus smetanai	0	0
Sepedophilus frosti	0	1
Lathrobium exesum	0	0
Trimium brevicorne	17	18
Cypha tarsalis	3	3
Hydrosmecta borealis	0	0
Stenus curtus	0	0
Atheta laticollis	21	23
Atheta triangulum	0	10
Tasgius melanarius	27	48
Atheta macrocera	0	8
Calodera riparia	1	1
Micrearota vestigialis	0	0
Oxypoda subpolaris	1	1
Bledius foraminosus	0	0
Bledius habrus	0	0
Alianta incana	0	9
Phlaeopterus castaneus	1	4
Decarthron inusitatum	0	0
Oxyporus aequicollis	0	0
Atheta picipennis	5	3
Stenichnus turbatus	0	0
Oxytelus assingi	2	2
Atheta laticeps	2	2
Parocyusa americana	0	0
Dinaraea linearis	4	4
Bledius bernhaueri	0	0
Stenus audax	0	0
Mycetoporus horni	0	5
Bisnius albionicus	0	0
Stenus ampliventris	0	0
Liparocephalus cordicollis	5	5
Acrolocha diffusa	6	7
Philonthus fulcinius	0	0
Acrotona subpygmaea	0	2
Thiasophila lohsei	0	0
Atheta modesta	19	40
Quedius simplex	0	1
Lathrobium shoshonicum	0	0
Gyrophaena meduxnekeagensis	0	1
Gabrius lividipes	0	0
Myrmedonota aidani	1	4
Pseudomedon capitulus	0	0
Aleochara signata	0	1
Silusa californica	3	19
Tachyporus inornatus	0	0
Philonthus ebeninus	0	0
Bledius tibialis	2	2
Schistoglossa drusilloides	0	0
Platystethus degener	1	21
Platydracus maculosus	0	7
Philonthus quadrulus	0	0
Stenus tarsalis	11	16
Omalium septentrionis	2	2
Atheta lativentris	0	0
Aleochara curtula	19	25
Oxybleptes kiteleyi	0	53
Xantholinus longiventris	17	19
Bledius ruficornis	0	0
Phyllodrepa humilis	0	0
Arpedium tenue	0	0
Quedius boopoides	7	7
Omalium quadripenne	0	0
Philonthus varians	22	32
Lordithon bimaculatus	8	2
Phloeonomus laesicollis	6	25
Sunius quadripennis	0	0
Atheta varula	0	0
Phyllodrepoidea crenata	5	3
Batrisodes denticauda	0	0
Platydracus praetermissus	0	0
Tachyusa balteata	1	1
Ctenisodes lacustris	0	0
Ischnosoma longicorne	4	4
Amphichroum maculatum	6	10
Bisnius fimetarius	7	31
Gabrius amulius	0	0
Philonthus piceatus	0	0
Fagniezia impressa	13	13
Quedius puncticollis	0	0
Quedius horni	0	1
Stenus fornicatus	5	5
Euconnus affinis	0	0
Atheta corvina	14	14
Erichsonius pusio	0	3
Bibloplectus tenebrosus	0	2
Philonthus opacipennis	0	3
Thoracophorus costalis	0	7
Atheta vincenti	0	0
Philhygra pseudoterminalis	1	8
Ischnopoda leucopus	5	5
Philonthus leechensis	0	1
Othius punctulatus	23	23
Bledius bicornis	1	0
Atheta finita	0	0
Atrecus pilicornis	6	7
Dinothenarus sibiricus	0	0
Lathrobium tenue	0	0
Stenus glabellus	0	0
Baeocera indistincta	0	0
Xantholinus tricolor	13	14
Tachinus limbatus	10	11
Gnypeta nigrella	1	1
Gyrophaena californica	0	0
Bledius politus	0	1
Tachinus schwarzi	0	2
Quedius xanthopus	8	19
Atheta vaga	18	9
Cyphea curtula	1	2
Oxypoda volkeri	0	1
Gnathusa eva	0	1
Boreostiba frigida	1	6
Xylodromus testaceus	1	1
Bolitopunctus muricatulus	0	3
Stenus sculptilis	0	4
Stenus palustris	8	11
Gyrophaena geniculata	0	0
Atheta hygrotopora	0	17
Anthobium occiduum	0	0
Stenus fasciculatus	0	4
Carpelimus elongatulus	29	31
Reichenbachia gracilis	0	0
Philonthus duplicatus	0	0
Actium fastosum	0	0
Decarthron defectum	0	0
Tachinus elegans	4	4
Atheta remulsa	2	6
Microscydmus nanus	1	1
Kalissus nitidus	1	1
Orus dentiger	0	5
Liogluta nitens	67	70
Boreostiba thulea	0	0
Unamis columbiensis	0	1
Carcinocephalus exsculpta	0	5
Anotylus tetratoma	0	0
Aleochara laevigata	3	3
Gyrophaena simulans	2	2
Philhygra manitobae	0	0
Pseudomedon obsoletus	1	1
Megarthrus prosseni	5	0
Bledius assimilis	0	1
Dropephylla longula	2	4
Tachinus bicuspidatus	0	0
Atheta strandiella	3	3
Atheta spatuloides	0	4
Trichomicra sahlbergiana	0	1
Tachyporus pacificus	0	0
Atheta cribripennis	0	3
Atheta fungivora	0	1
Pseudohaida rothi	0	4
Stenus morio	5	9
Euplectus sanguineus	0	0
Oxypoda grandipennis	49	0
Stenus kryzhanovskii	0	0
Atheta palleola	0	0
Stenus mammops	4	9
Leptacinus batychrus	1	5
Proteinus macropterus	0	0
Pella criddlei	0	0
